Sales,Dev,Pub,IP,Date,Gap,Player,Price,IMDB,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,UserScore,CriticScore,Ratings,Media,SteamCCU,SteamComments,SteamFollowers,VGTime,Douban
2500000,8,7,4,42773,728,1,60,538,1133,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,76694,93044,8,88,1999,100,10649,11359,129243,4961,1819
2500000,4,4,2,41816,1841,0,25,472,771,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,57925,191303,8,90,939,74,2875,8848,57294,874,409
2460000,9,9,9,43418,106,2,24,846,492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,147632,209140,3,53,11993,122,0,0,0,434,113
2400000,10,10,8,42458,1314,2,19,962,59,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,37064,18101,7,85,182,37,0,0,0,8,451
2314285,9,9,8,42801,7,1,60,1079,1302,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,105053,87165,6,76,1540,122,45704,41787,384138,1226,790
2306775,5,5,1,41494,7,0,10,770,2807,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,19857,0,8,85,1312,40,6129,31223,81392,136,886
2300000,10,10,8,43186,586,2,19,461,64,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33075,9428,6,82,95,35,0,0,0,2123,1314
2290000,10,10,8,43672,66,0,60,153,226,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,58015,34642,8,89,1731,101,0,0,0,4111,1742
2250000,7,10,8,43224,331,0,60,376,161,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45527,166736,8,86,462,75,0,0,0,297,202
2157142,9,9,8,43035,7,0,60,3977,2552,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,185879,80844,7,85,4070,134,6158,41589,296788,3085,3642
