0,1,2,3,4,5,6,7
140000,151,1334,1513,33,255,725,36
139426,184,98075,17619,81,50,23,185
139359,750,2905,35424,149,5,9,35
138895,1004,347,83,24,50,3,816
138534,1297,1485,2005,155,40,3,36
137434,561,4279,7027,60,50,3,36
137144,196,2211,13313,116,8,15,36
137022,156,743,106185,19,49,3,142
136652,748,138813,866,79,18,16,16
136473,327,1201,16441,10,49,3,33
136011,797,113,14713,7,53,26,34
135151,499,352106,44382,71,31,145,16
133510,181,14574,11538,147,49,14,20
130612,351,458,264,208,19,3,34
130000,96,139,2443,15,34,3,34
130000,99,2410,38532,61,16,13,34
130000,86,720,373,31,10,3,34
129872,103,5106,566,14,48,3,34
129644,205,745,1000,16,48,5,37
127734,977,1395,15144,143,47,43,13
125302,461,2978,6040,18,46,0,28
123994,530,13345,518,69,46,5,33
123277,562,1212,12416,41,46,17,33
122039,563,7322,192,8,46,3,33
121460,418,712,17053,82,45,0,9
121344,71,1229,12078,46,4,8,8
120376,156,6875,7821,41,314,79,6
120000,171,836,2663,139,6,9,27
120000,42,5843,2786,40,4,0,56
120000,429,49493,5437,96,273,10,32
119191,195,900,19,73,20,23,32
118976,482,2316,41929,29,27,52,32
117534,232,1855,6028,87,2,3,9
116134,308,306,3788,8,35,23,17
116099,832,22135,0,45,44,566,58
116064,42,1269,1729,11,44,11,18
114826,582,7137,28920,48,44,15,23
114359,554,4569,32445,109,7,836,22
114116,96,1911,1696,20,49,3,13
112755,585,1196,18,33,50,22,17
112346,174,794,3289,34,43,11,15
112315,466,5626,2809,20,43,22,22
112235,462,636,1529,74,43,3,16
110123,303,675,116,86,57,22,21
110000,77,7508,738,49,7,22,22
110000,32,2114,3309,37,145,17,6
108610,213,1103,2730,15,26,14,30
108601,417,2637,3001,9,77,3,30
108416,264,24294,107040,136,71,70,30
106207,318,17525,18223,9,41,13,30
105319,108,9399,103,228,31,47,30
104354,310,108,8,4,65,21,29
103984,61,1289,585,89,21,6,29
103873,448,2784,33485,29,41,24,22
103651,214,82851,44890,1441,169,6,199
103074,384,1321,651,36,75,3,28
102656,667,1225,32223,64,40,17,27
102014,377,8594,7143,184,32,55,26
101857,453,11466,6901,88,4,3,5
100663,386,2970,200,72,340,20,24
100395,103,183,108,18,391,0,23
100000,515,10526,10037,97,33,56,29
100000,6,1460,886,50,604,27,22
100000,612,3555,5974,24,180,141,23
100000,27,13751,3629,388,72,3,12
100000,213,13753,45824,94,89,92,5
100000,510,24524,47798,300,908,449,44
100000,1078,12648,124483,477,76,138,71
100000,246,34403,45622,14,477,8,11
100000,69,1968,2259,43,128,38,22
100000,246,9919,137276,90,18,53,24
100000,2842,42668,88107,1177,480,89,334
100000,1811,52758,9216,520,122,437,103
100000,96,12709,31186,172,222,244,41
98179,372,2354,2384,26,240,0,19
97796,349,16315,11199,115,44,288,44
96765,75,16091,7192,236,222,21,74
96283,357,564,210,78,39,19,22
96114,488,914,161,215,47,8,7
95557,1234,3207,16541,101,37,3,15
95000,32,4315,15029,48,38,26,12
95000,456,15481,24734,114,38,18,205
94279,346,671,600,7,124,19,20
92537,436,539,489,74,121,32,27
91947,508,690,18069,42,37,11,27
91301,625,200,1281,24,37,20,27
91287,415,531,9921,10,163,75,5
91000,14,730,24,24,182,3,26
90750,15,1666,287,17,393,90,27
90685,274,1179,5131,12,205,81,27
90572,165,47,131,21,116,3,27
90398,572,31515,189,100,37,9,15
90000,15,1091,9,29,37,18,26
90000,25,13469,3945,22,37,3,26
89221,150,1174,31721,218,267,3,26
88976,528,9454,4719,21,37,17,26
88829,250,4239,4172,54,37,8,32
87217,93,2506,1729,13,36,3,26
87209,256,23811,14615,30,73,5,26
87152,540,30189,39122,7,36,12,26
87019,182,3387,5040,177,680,209,41
86204,158,1412,1120,85,94,3,17
86010,426,17364,850,47,36,19,31
85901,326,912,413,7,36,397,10
85842,36,1622,3201,51,36,18,25
85573,177,461,6326,11,36,42,25
85000,671,2154,31575,138,857,2071,296
84620,99,1732,691,42,393,81,21
84513,116,4618,1198,31,119,48,25
84014,404,378,680,38,35,10,25
83551,160,1652,126,148,78,0,25
83090,168,1635,282,40,35,17,24
81722,132,3401,4542,101,34,7,5
81026,262,233,5,16,34,17,15
80154,875,13273,26352,110,57,480,871
79925,278,5635,126,59,127,6,17
79909,295,1000000,605,265,5,17,9
79625,412,82738,31570,47,147,36,24
79276,87,2905,66,103,133,6,13
79000,19,851,660,39,338,94,7
