,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,announcement,announcement_lower,announcement_upper,holidays,holidays_lower,holidays_upper,release,release_lower,release_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
118,2023-01-11,34846.96882550574,46831.2,37100.08912089922,37139.46015668759,34846.96882550574,34846.96882550574,2272.1571964431655,2272.1571964431655,2272.1571964431655,0.0,0.0,0.0,2280.172102,2280.172102,2280.172102,2280.172102,2280.172102,2280.172102,-8.014905556834574,-8.014905556834574,-8.014905556834574,0.0,0.0,0.0,37119.126021948905
119,2023-01-12,35235.684395356526,46831.2,37184.628218328275,37224.20747315295,35235.684395356526,35235.684395356526,1968.4587331344014,1968.4587331344014,1968.4587331344014,0.0,0.0,0.0,1976.9244716,1976.9244716,1976.9244716,1976.9244716,1976.9244716,1976.9244716,-8.46573846559871,-8.46573846559871,-8.46573846559871,0.0,0.0,0.0,37204.14312849093
120,2023-01-13,35624.39996520732,46831.2,37277.39400417131,37318.86096844222,35624.39996520732,35624.39996520732,1672.7365930536334,1672.7365930536334,1672.7365930536334,0.0,0.0,0.0,1678.50826,1678.50826,1678.50826,1678.50826,1678.50826,1678.50826,-5.77166694636653,-5.77166694636653,-5.77166694636653,0.0,0.0,0.0,37297.13655826095
121,2023-01-15,36401.83110490891,46831.2,37378.47296575227,37415.64141638324,36401.83110490891,36401.83110490891,995.2780640407897,995.2780640407897,995.2780640407897,0.0,0.0,0.0,991.7989588,991.7989588,991.7989588,991.7989588,991.7989588,991.7989588,3.479105240789724,3.479105240789724,3.479105240789724,0.0,0.0,0.0,37397.1091689497
122,2023-01-16,36537.7410616558,46831.2,37469.38426792597,37509.15906306937,36537.7410616558,36537.7410616558,952.360955017878,952.360955017878,952.360955017878,0.0,0.0,0.0,943.6135565999999,943.6135565999999,943.6135565999999,943.6135565999999,943.6135565999999,943.6135565999999,8.74739841787806,8.74739841787806,8.74739841787806,0.0,0.0,0.0,37490.10201667368
123,2023-01-17,36673.6510184027,46831.2,37549.77688376453,37588.21507908368,36673.6510184027,36673.6510184027,895.4315770322286,895.4315770322286,895.4315770322286,0.0,0.0,0.0,890.7996708000001,890.7996708000001,890.7996708000001,890.7996708000001,890.7996708000001,890.7996708000001,4.631906232228567,4.631906232228567,4.631906232228567,0.0,0.0,0.0,37569.08259543493
124,2023-01-18,36809.56097514959,46831.2,37617.29694497141,37656.21746579198,36809.56097514959,36809.56097514959,828.4839888431543,828.4839888431543,828.4839888431543,0.0,0.0,0.0,836.4988943999999,836.4988943999999,836.4988943999999,836.4988943999999,836.4988943999999,836.4988943999999,-8.014905556845596,-8.014905556845596,-8.014905556845596,0.0,0.0,0.0,37638.04496399274
125,2023-01-19,36945.47093189649,46831.2,37670.33557914278,37710.14122958225,36945.47093189649,36945.47093189649,744.5799575343959,744.5799575343959,744.5799575343959,0.0,0.0,0.0,753.045696,753.045696,753.045696,753.045696,753.045696,753.045696,-8.465738465604057,-8.465738465604057,-8.465738465604057,0.0,0.0,0.0,37690.05088943089
126,2023-01-20,37081.38088864338,46831.2,37731.3530302683,37769.629651585834,37081.38088864338,37081.38088864338,670.6503806536396,670.6503806536396,670.6503806536396,0.0,0.0,0.0,676.4220476,676.4220476,676.4220476,676.4220476,676.4220476,676.4220476,-5.77166694636052,-5.77166694636052,-5.77166694636052,0.0,0.0,0.0,37752.031269297026
127,2023-01-21,37217.29084539028,46831.2,37777.08278564654,37817.20967386434,37217.29084539028,37217.29084539028,579.7278352779164,579.7278352779164,579.7278352779164,0.0,0.0,0.0,574.3339341999999,574.3339341999999,574.3339341999999,574.3339341999999,574.3339341999999,574.3339341999999,5.393901077916328,5.393901077916328,5.393901077916328,0.0,0.0,0.0,37797.018680668196
128,2023-01-22,37353.20080213717,46831.2,37842.65165642492,37882.99817949817,37353.20080213717,37353.20080213717,509.7751110407945,509.7751110407945,509.7751110407945,0.0,0.0,0.0,506.2960058,506.2960058,506.2960058,506.2960058,506.2960058,506.2960058,3.4791052407945178,3.4791052407945178,3.4791052407945178,0.0,0.0,0.0,37862.975913177965
129,2023-01-23,37489.11075888407,46831.2,37922.50005405859,37960.79450691727,37489.11075888407,37489.11075888407,450.8573420178576,450.8573420178576,450.8573420178576,0.0,0.0,0.0,442.10994359999995,442.10994359999995,442.10994359999995,442.10994359999995,442.10994359999995,442.10994359999995,8.747398417857626,8.747398417857626,8.747398417857626,0.0,0.0,0.0,37939.968100901926
130,2023-01-24,37625.02071563096,46831.2,37985.372211946175,38026.04562891479,37625.02071563096,37625.02071563096,380.9307449922079,380.9307449922079,380.9307449922079,0.0,0.0,0.0,376.29883875999997,376.29883875999997,376.29883875999997,376.29883875999997,376.29883875999997,376.29883875999997,4.6319062322079025,4.6319062322079025,4.6319062322079025,0.0,0.0,0.0,38005.95146062317
131,2023-01-25,37760.930672377865,46831.2,38022.08252841538,38061.90053648437,37760.930672377865,37760.930672377865,280.98394198315907,280.98394198315907,280.98394198315907,0.0,0.0,0.0,288.99884754,288.99884754,288.99884754,288.99884754,288.99884754,288.99884754,-8.014905556840953,-8.014905556840953,-8.014905556840953,0.0,0.0,0.0,38041.91461436103
132,2023-01-26,37896.84062912476,46831.2,38079.9796183266,38117.88050454832,37896.84062912476,37896.84062912476,202.0760191944005,202.0760191944005,202.0760191944005,0.0,0.0,0.0,210.54175766,210.54175766,210.54175766,210.54175766,210.54175766,210.54175766,-8.46573846559951,-8.46573846559951,-8.46573846559951,0.0,0.0,0.0,38098.91664831916
133,2023-01-27,38032.750585871654,46831.2,38132.8453662478,38171.574251485166,38032.750585871654,38032.750585871654,120.14689283361186,120.14689283361186,120.14689283361186,0.0,0.0,0.0,125.91855978,125.91855978,125.91855978,125.91855978,125.91855978,125.91855978,-5.771666946388151,-5.771666946388151,-5.771666946388151,0.0,0.0,0.0,38152.897478705265
134,2023-01-28,38168.66054261855,46831.2,38155.11227903528,38193.77568106545,38168.66054261855,38168.66054261855,5.39390107791005,5.39390107791005,5.39390107791005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39390107791005,5.39390107791005,5.39390107791005,0.0,0.0,0.0,38174.054443696456
